aircraft_id,tail_number,manufacturer,model,age
187,N815AA,BOEING,787,8
188,N8704Q,BOEING,737 NG,8
189,N294PQ,CANADAIR REGIONAL JET,CRJ,11
190,N841DN,BOEING,737 NG,9
191,N2029J,AIRBUS,A321,5
192,N324FR,AIRBUS,A320,7
193,N575DZ,AIRBUS,A350,5
194,N610UX,EMBRAER,170/175,5
195,N869RW,EMBRAER,170/175,18
196,N323DN,AIRBUS,A321,7
197,N12010,BOEING,787,5
198,N381FR,AIRBUS,A320,3
199,N3756,BOEING,737 NG,23
200,N966AN,BOEING,737 NG,23
201,N470UA,AIRBUS,A320,23
202,N412UA,AIRBUS,A320,30
203,N665AW,AIRBUS,A320,23
204,N27267,BOEING,737 NG,2
205,N76533,BOEING,737 NG,8
206,N8764Q,BOEING,737 NG,2
207,N750EV,CANADAIR REGIONAL JET,CRJ,20
208,N788SA,BOEING,737 NG,24
209,N792UA,BOEING,777,27
210,N421YX,EMBRAER,170/175,10
211,N581AS,BOEING,737 NG,17
212,N8582Z,BOEING,737 NG,6
213,N708JB,AIRBUS,A320,16
214,N524UW,AIRBUS,A321,15
215,N8877A,CANADAIR REGIONAL JET,CRJ,21
216,N187JB,EMBRAER,190/195,19
217,N725UW,AIRBUS,A319,25
218,N375NC,AIRBUS,A320,22
219,N27957,BOEING,787,9
220,N646RW,EMBRAER,170/175,19
221,N773SA,BOEING,737 NG/MAX,24
222,N9026C,AIRBUS,A319,9
223,N484UA,AIRBUS,A320,23
224,N347NB,AIRBUS,A319,22
225,N602NK,AIRBUS,A320,14
226,N270AK,BOEING,737 NG,7
227,N766AN,BOEING,777,21
228,N453UA,AIRBUS,A320,25
229,N382DA,BOEING,737 NG,25
230,N644RW,EMBRAER,170/175,19
231,N8307K,BOEING,737 NG,12
232,N870RW,EMBRAER,170/175,18
233,N7825A,BOEING,737 NG,21
234,N275SY,EMBRAER,170/175,6
235,N8668A,BOEING,737 NG,9
236,N210NN,EMBRAER,170/175,9
237,N725AN,BOEING,777,11
238,N593NN,CANADAIR REGIONAL JET,CRJ,8
239,N768US,AIRBUS,A319,24
240,N247NN,EMBRAER,170/175,8
241,N439WN,BOEING,737 NG,21
242,N607FR,AIRBUS,A321,2
243,N8765Q,BOEING,737 NG,2
244,N753EV,CANADAIR REGIONAL JET,CRJ,20
245,N526JL,AIRBUS,A320,23
246,N634RW,EMBRAER,170/175,20
247,N716SK,CANADAIR REGIONAL JET,CRJ,20
248,N186PQ,CANADAIR REGIONAL JET,CRJ,16
249,N630VA,AIRBUS,A320,17
250,N352PS,BOEING,737 NG,7
251,N533AS,BOEING,737 NG,14
252,N262WN,BOEING,737 NG,18
253,N828AW,AIRBUS,A319,23
254,N8683D,BOEING,737 NG,8
255,N7741C,BOEING,737 NG,17
256,N8836Q,BOEING,737 NG,2
257,N17730,BOEING,737 NG,25
258,N7853B,BOEING,737 NG,23
259,N483WN,BOEING,737 NG,20
260,N280NN,EMBRAER,170/175,5
261,N420UA,AIRBUS,A320,30
262,N352NW,AIRBUS,A320,26
263,N73299,BOEING,737 NG,19
264,N450WN,BOEING,737 NG,21
265,N8738K,BOEING,737 NG,5
266,N8524Z,BOEING,737 NG,7
267,N240WN,BOEING,737 NG,18
268,N364FR,AIRBUS,A320,5
269,N323JB,EMBRAER,190/195,14
270,N755SA,BOEING,737 NG/MAX,25
271,N3754A,BOEING,737 NG,23
272,N172DZ,BOEING,767,26
273,N453AS,BOEING,737 NG,11
274,N619AS,BOEING,737 NG,24
275,N53441,BOEING,737 NG,15
276,N507SY,EMBRAER,170/175,3
277,N555LV,BOEING,737 NG,13
278,N8510E,BOEING,737 NG,8
279,N762SK,CANADAIR REGIONAL JET,CRJ,19
280,N335NV,AIRBUS,A319,18
281,N14001,BOEING,787,6
282,N217JC,BOEING,737 NG,19
283,N669AW,AIRBUS,A320,22
284,N178SY,EMBRAER,170/175,8
285,N29984,BOEING,787,4
286,N7743B,BOEING,737 NG,16
287,N8834L,BOEING,737 NG,2
288,N863DN,BOEING,737 NG,8
289,N309NV,AIRBUS,A319,17
290,N9015D,AIRBUS,A319,12
291,N14242,BOEING,737 NG,25
292,N587JB,AIRBUS,A320,20
293,N935AT,BOEING,717,24
294,N215AK,BOEING,737 NG,5
295,N849DN,BOEING,737 NG,9
296,N364NW,AIRBUS,A320,25
297,N351DN,AIRBUS,A321,6
298,N942JB,AIRBUS,A321,10
299,N828NW,AIRBUS,A330,8
300,N335DN,AIRBUS,A321,6
301,N466UA,AIRBUS,A320,24
302,N356DN,AIRBUS,A321,6
303,N871RW,EMBRAER,170/175,18
304,N3746H,BOEING,737 NG,23
305,N2059J,AIRBUS,A321,3
306,N8773Q,BOEING,737 NG,2
307,N449SW,CANADAIR REGIONAL JET,CRJ,22
308,N4064J,AIRBUS,A321,2
309,N143DU,AIRBUS,A220,2
310,N460UA,AIRBUS,A320,24
311,N464WN,BOEING,737 NG,20
312,N607AS,BOEING,737 NG,25
313,N8322X,BOEING,737 NG,12
314,N142AN,AIRBUS,A321,9
315,N443AA,AIRBUS,A321,3
316,N455UA,AIRBUS,A320,25
317,N905JH,EMBRAER,135/145,19
318,N36207,BOEING,737 NG,24
319,N994AN,AIRBUS,A321,8
320,N989AU,AIRBUS,A321,8
321,N506AE,CANADAIR REGIONAL JET,CRJ,22
322,N506NK,AIRBUS,A319,19
323,N33262,BOEING,737 NG,23
324,N766JM,EMBRAER,170/175,14
325,N547JB,AIRBUS,A320,22
326,N314RH,BOEING,737 NG,6
327,N672UA,BOEING,767,25
328,N319US,AIRBUS,A320,33
329,N397DN,AIRBUS,A321,5
330,N875NN,BOEING,737 NG,13
331,N175DZ,BOEING,767,25
332,N438WN,BOEING,737 NG,21
333,N16234,BOEING,737 NG,25
334,N565JB,AIRBUS,A320,21
335,N712TW,BOEING,757,27
336,N78013,BOEING,777,25
337,N905JB,AIRBUS,A321,11
338,N308PQ,CANADAIR REGIONAL JET,CRJ,10
339,N668AW,AIRBUS,A320,22
340,N365DN,AIRBUS,A321,6
341,N76519,BOEING,737 NG,15
342,N137DU,AIRBUS,A220,4
343,N834UA,AIRBUS,A319,23
344,N71411,BOEING,737 NG,22
345,N212HA,AIRBUS,A321,6
346,N200PQ,CANADAIR REGIONAL JET,CRJ,16
347,N219NV,AIRBUS,A320,24
348,N855UA,AIRBUS,A319,22
349,N956NK,AIRBUS,A320,2
350,N862DN,BOEING,737 NG,8
351,N7879A,BOEING,737 NG,19
352,N1602,BOEING,767,25
353,N569NN,CANADAIR REGIONAL JET,CRJ,9
354,N130DU,AIRBUS,A220,4
355,N7876A,BOEING,737 NG,20
356,N509AY,AIRBUS,A321,15
357,N709JB,AIRBUS,A320,16
358,N914NN,BOEING,737 NG,11
359,N656JB,AIRBUS,A320,17
360,N873AS,CANADAIR REGIONAL JET,CRJ,23
361,N269NN,EMBRAER,170/175,5
362,N534NK,AIRBUS,A319,16
363,N523UW,AIRBUS,A321,15
364,N665NK,AIRBUS,A321,8
365,N438UA,AIRBUS,A320,27
366,N383HA,AIRBUS,A330,13
367,N119HQ,EMBRAER,170/175,17
368,N3751B,BOEING,737 NG,23
369,N8654B,BOEING,737 NG,10
370,N979UY,AIRBUS,A321,11
371,N9018E,AIRBUS,A319,10
372,N25982,BOEING,787,4
373,N1807U,BOEING,737 NG,5
374,N962WN,BOEING,737 NG,13
375,N388DA,BOEING,737 NG,24
376,N758AN,BOEING,777,23
377,N899NN,BOEING,737 NG,12
378,N7864B,BOEING,737 NG,23
379,N563JB,AIRBUS,A320,21
380,N176SY,EMBRAER,170/175,9
381,N863RW,EMBRAER,170/175,19
382,N821JB,AIRBUS,A320,12
383,N187DN,BOEING,767,28
384,N272WN,BOEING,737 NG,17
385,N521SY,EMBRAER,170/175,5
386,N125DN,AIRBUS,A321,3
387,N973NN,BOEING,737 NG,9
388,N205NV,AIRBUS,A320,11
389,N819AN,BOEING,787,7
390,N605FR,AIRBUS,A321,2
391,N816DN,BOEING,737 NG,10
392,N582NN,CANADAIR REGIONAL JET,CRJ,9
393,N921EV,CANADAIR REGIONAL JET,CRJ,21
394,N61898,BOEING,737 NG,8
395,N922NN,BOEING,737 NG,11
396,N7750A,BOEING,737 NG,16
397,N968WN,BOEING,737 NG,13
398,N944NN,BOEING,737 NG,11
399,N645JB,AIRBUS,A320,18
400,N421UA,AIRBUS,A320,30
401,N425LV,BOEING,737 NG,22
402,N38454,BOEING,737 NG,12
403,N45440,BOEING,737 NG,15
404,N535NK,AIRBUS,A319,14
405,N692DL,BOEING,757,26
406,N327SK,BOEING,737 NG,5
407,N379DA,BOEING,737 NG,25
408,N614NK,AIRBUS,A320,12
409,N2047J,AIRBUS,A321,4
410,N757LV,BOEING,737 NG,25
411,N935AE,EMBRAER,135/145,19
412,N77867,BOEING,757,22
413,N842NN,BOEING,737 NG,14
414,N889UA,AIRBUS,A319,18
415,N486UA,AIRBUS,A320,23
416,N930AU,AIRBUS,A321,7
417,N251NN,EMBRAER,170/175,7
418,N510SY,EMBRAER,170/175,3
419,N247NV,AIRBUS,A320,7
420,N823SK,CANADAIR REGIONAL JET,CRJ,16
421,N39475,BOEING,737 NG,11
422,N361NW,AIRBUS,A320,26
423,N922DZ,BOEING,737 NG,5
424,N738EV,CANADAIR REGIONAL JET,CRJ,20
425,N544UW,AIRBUS,A321,13
426,N161SY,EMBRAER,170/175,8
427,N926VA,AIRBUS,A321,6
428,N75426,BOEING,737 NG,16
429,N715FR,AIRBUS,A321,8
430,N801UA,AIRBUS,A319,27
431,N509SY,EMBRAER,170/175,3
432,N37018,BOEING,777,22
433,N204SY,EMBRAER,170/175,8
434,N331PQ,CANADAIR REGIONAL JET,CRJ,10
435,N378NW,AIRBUS,A320,21
436,N722FR,AIRBUS,A321,6
437,N288WN,BOEING,737 NG,17
438,N61887,BOEING,737 NG,9
439,N68811,BOEING,737 NG,11
440,N392FR,AIRBUS,A320,2
441,N395DZ,AIRBUS,A321,5
442,N275NN,EMBRAER,170/175,5
443,N609NK,AIRBUS,A320,13
444,N297SY,EMBRAER,170/175,5
445,N957NK,AIRBUS,A320,2
446,N541EA,CANADAIR REGIONAL JET,CRJ,13
447,N821UA,AIRBUS,A319,26
